filename,url,category,date_downloaded
Intellectual_Property.pdf,https://www.georgebrown.ca/policies/Intellectual_Property.pdf,Policies,2025-05-24T14:54:45.136391
LLC.pdf,https://www.georgebrown.ca/policies/LLC.pdf,Policies,2025-05-24T14:54:45.658375
promotion-progression-policy.pdf,https://www.georgebrown.ca/sites/default/files/policies/promotion-progression-policy.pdf,Policies,2025-05-24T14:54:45.808842
complaints_regarding_advertizing.pdf,https://www.georgebrown.ca/sites/default/files/policies/complaints_regarding_advertizing.pdf,Policies,2025-05-24T14:54:46.051327
emergency-response-policy-for-lockdown.pdf,https://www.georgebrown.ca/sites/default/files/policies/emergency-response-policy-for-lockdown.pdf,Policies,2025-05-24T14:54:46.362873
Employee_Code_of_Conduct_Academic_Staff.pdf,https://www.georgebrown.ca/policies/Employee_Code_of_Conduct_Academic_Staff.pdf,Policies,2025-05-24T14:54:46.872605
Employee_Code_of_Conduct_Administrative_Staff.pdf,https://www.georgebrown.ca/policies/Employee_Code_of_Conduct_Administrative_Staff.pdf,Policies,2025-05-24T14:54:47.365530
Employee_Code_of_Conduct_Support_Staff.pdf,https://www.georgebrown.ca/policies/Employee_Code_of_Conduct_Support_Staff.pdf,Policies,2025-05-24T14:54:48.045907
George-Brown-College-AODA-IASR-Workplace-Accommodation-Policy.pdf,https://www.georgebrown.ca/George-Brown-College-AODA-IASR-Workplace-Accommodation-Policy.pdf,Policies,2025-05-24T14:54:48.664542
GLOSSARY_OF_TERMS.pdf,https://www.georgebrown.ca/policies/GLOSSARY_OF_TERMS.pdf,Policies,2025-05-24T14:54:49.209383
International_Travel_Policy_for_Students.pdf,https://www.georgebrown.ca/policies/International_Travel_Policy_for_Students.pdf,Policies,2025-05-24T14:54:49.782330
Non-Academic_Policies_and_Complaint_Resolution.pdf,https://www.georgebrown.ca/policies/Non-Academic_Policies_and_Complaint_Resolution.pdf,Policies,2025-05-24T14:54:50.321563
Conflict_of_Interest_in_Research.pdf,https://www.georgebrown.ca/research/documents/Conflict_of_Interest_in_Research.pdf,Policies,2025-05-24T14:54:50.818953
Intellectual_Property_Policy.pdf,https://www.georgebrown.ca/research/documents/Intellectual_Property_Policy.pdf,Policies,2025-05-24T14:54:51.428728
smoke-free.pdf,https://www.georgebrown.ca/sites/default/files/policies/smoke-free.pdf,Policies,2025-05-24T14:54:51.674270
GBCStudentEmail.pdf,https://www.georgebrown.ca/policies/GBCStudentEmail.pdf,Policies,2025-05-24T14:54:52.245885
use-of-college-facilities-for-advocacy-purposes.pdf,https://www.georgebrown.ca/sites/default/files/policies/use-of-college-facilities-for-advocacy-purposes.pdf,Policies,2025-05-24T14:54:52.544379
web-governance.pdf,https://www.georgebrown.ca/sites/default/files/policies/web-governance.pdf,Policies,2025-05-24T14:54:52.796410
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,Policies,2025-05-24T14:54:54.727436
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,Policies,2025-05-24T14:54:54.812105
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,Ask-George-Brown,2025-05-24T14:54:55.176404
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,Ask-George-Brown,2025-05-24T14:54:55.261405
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,Ask-George-Brown,2025-05-24T14:54:55.347965
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,Ask-George-Brown,2025-05-24T14:54:55.426485
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,Contact,2025-05-24T14:54:56.015732
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,Contact,2025-05-24T14:54:56.110702
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,Contact,2025-05-24T14:54:56.197350
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,Contact,2025-05-24T14:54:56.279500
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,About,2025-05-24T14:54:56.529966
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,About,2025-05-24T14:54:56.603995
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,About,2025-05-24T14:54:56.679827
NewTransferCreditGuide.pdf,https://stuview.georgebrown.ca/misc/NewTransferCreditGuide.pdf,About,2025-05-24T14:54:56.752097
